Data Medicao,RADIACAO SOLAR MÉDIA DIÁRIA (Kj/m²),RADIACAO SOLAR MÁXIMA DIÁRIA (Kj/m²)
2008-07-15,398.26795833333335,1697.527
2008-07-16,499.0360416666667,2618.535
2008-07-17,777.3780833333332,3055.923
2008-07-18,847.5873333333333,3121.395
2008-07-19,845.9218333333333,3165.51
2008-07-20,704.776125,2294.67
2008-07-21,675.5335833333334,2214.496
2008-07-22,850.0581666666668,3201.362
2008-07-23,863.4277916666668,3088.339
2008-07-24,749.2375416666667,3074.582
2008-07-25,277.63425,1375.382
2008-07-26,546.5541666666666,2314.307
2008-07-27,825.7273749999999,3214.302
2008-07-28,759.8761249999999,3008.01
2008-07-29,541.6389583333333,2752.998
2008-07-30,680.0434583333333,2832.81
2008-07-31,712.1320000000001,2986.08
2008-08-01,944.9895416666665,3382.922
2008-08-02,534.7432916666668,2670.474
2008-08-03,884.9275416666668,3448.128
2008-08-04,820.5591666666664,2811.608
2008-08-05,935.1531249999998,3441.593
2008-08-06,623.6521666666666,2279.3
2008-08-07,370.32329166666676,1728.771
2008-08-08,849.7263749999998,3101.696
2008-08-09,908.7823749999999,3368.985
2008-08-10,854.6603333333334,2952.355
2008-08-11,694.5494166666667,2927.14
2008-08-12,803.1384166666668,2964.502
2008-08-13,892.1987083333332,3328.618
2008-08-14,751.6458749999998,2732.589
2008-08-15,918.9455000000002,3214.829
2008-08-16,919.8047083333335,3629.088
2008-08-17,594.0709166666667,2483.148
2008-08-18,915.4031666666668,3457.218
2008-08-19,795.7913749999999,3382.115
2008-08-20,870.4870000000002,3457.735
2008-08-21,866.2753333333332,3088.69
2008-08-22,931.6965833333333,3421.135
2008-08-23,1037.79875,3556.446
2008-08-24,1011.7744583333332,3426.743
2008-08-25,666.5039583333333,2288.513
2008-08-26,529.395125,1914.412
2008-08-27,874.0773333333332,3426.654
2008-08-28,824.2766666666666,3466.949
2008-08-29,527.851,2376.26
2008-08-30,971.799875,3500.74
2008-08-31,908.804125,3338.58
2008-09-01,902.4975000000001,3608.224
2008-09-02,961.8425416666668,3543.11
2008-09-03,810.7962499999999,3077.608
2008-09-04,578.29975,2984.364
2008-09-05,989.5639583333333,3613.559
2008-09-06,946.0257083333335,3524.975
2008-09-07,811.9094999999999,2998.331
2008-09-08,805.0006666666665,3016.141
2008-09-09,912.5204166666666,3421.094
2008-09-10,843.5625833333334,3046.885
2008-09-11,888.0299583333334,3352.043
2008-09-12,1021.3806249999998,3570.169
2008-09-13,850.8772916666667,3224.25
2008-09-14,985.7020833333331,3485.804
2008-09-15,819.6107916666665,2677.378
2008-09-16,975.1408333333333,3197.405
2008-09-17,732.3079166666666,2903.139
2008-09-18,1006.997125,3554.875
2008-09-19,994.848125,3510.322
2008-09-20,1028.4762499999997,3622.239
2008-09-21,1052.8352916666665,3570.189
2008-09-22,1049.213083333333,3248.382
2008-09-23,947.9980434782611,3610.378
2008-09-24,1035.21525,3674.788
2008-09-25,948.4872916666667,3597.655
2008-09-26,1013.9844999999999,3346.539
2008-09-27,1013.7487083333332,3388.123
2008-09-28,677.4642083333334,2791.501
2008-09-29,793.4521666666668,3347.328
2008-09-30,926.5850833333335,3383.728
2008-10-01,997.7720416666665,3550.073
2008-10-02,645.1301666666666,2892.319
2008-10-03,803.0908333333333,2869.82
2008-10-04,846.538708333333,2918.102
2008-10-05,934.5268749999999,3264.19
2008-10-06,728.6007083333334,3253.608
2008-10-07,933.0892499999999,3186.447
2008-10-08,863.6789583333334,3066.34
2008-10-09,753.6390833333331,3093.528
2008-10-10,1006.7674999999999,3493.222
2008-10-11,957.0468333333334,3416.916
2008-10-12,891.94175,3326.677
2008-10-13,851.2190416666667,3132.246
2008-10-14,967.5497916666668,3132.712
2008-10-15,950.0815416666669,3734.914
2008-10-16,677.9786250000001,2307.692
2008-10-17,910.8485416666667,3559.621
2008-10-18,1005.2757499999999,3437.522
2008-10-19,1020.6237916666669,3484.015
2008-10-20,874.851875,2871.613
2008-10-21,1024.5846666666664,3640.615
2008-10-22,1086.210875,3750.315
2008-10-23,957.39275,3218.449
2008-10-24,933.3467083333331,3791.824
2008-10-25,1018.5325416666666,3620.529
2008-10-26,1029.4299583333332,3280.639
2008-10-27,1072.3049999999998,3487.855
2008-10-28,1098.3061666666667,3949.954
2008-10-29,951.5454166666667,3045.751
2008-10-30,957.24075,3516.868
2008-10-31,1086.9382916666666,3561.224
2008-11-01,944.9198749999999,3152.556
2008-11-02,852.172125,3450.586
