Nome: JOAO PESSOA
Codigo Estacao: 82798
Latitude: -7.09527777
Longitude: -34.8486111
Altitude: 9.67
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2013-12-31
Periodicidade da Medicao: Diaria

Data Medicao;INSOLACAO TOTAL, DIARIO(h);
2009-10-21;10;
2009-10-22;9,8;
2009-10-23;9,5;
2009-10-24;9,7;
2009-10-25;9,4;
2009-10-26;8,8;
2009-10-27;7,7;
2009-10-28;8,1;
2009-10-29;9,4;
2009-10-30;9,8;
2009-10-31;9,7;
2009-11-01;9,7;
2009-11-02;10,2;
2009-11-03;9,6;
2009-11-04;6,9;
2009-11-05;8,4;
2009-11-06;9,5;
2009-11-07;10,9;
2009-11-08;9,9;
2009-11-09;9,9;
2009-11-10;9,6;
2009-11-11;9,4;
2009-11-12;8,5;
2009-11-13;10,1;
2009-11-14;10;
2009-11-15;10,2;
2009-11-16;9,9;
2009-11-17;9,7;
2009-11-18;8;
2009-11-19;10,6;
2009-11-20;10,5;
2009-11-21;7,1;
2009-11-22;10,2;
2009-11-23;6,8;
2009-11-24;9,7;
2009-11-25;10,3;
2009-11-26;10,7;
2009-11-27;10,7;
2009-11-28;8,7;
2009-11-29;7,4;
2009-11-30;9,7;
2009-12-01;9,8;
2009-12-02;7,9;
2009-12-03;2;
2009-12-04;8,4;
2009-12-05;9,7;
2009-12-06;9,3;
2009-12-07;10;
2009-12-08;10,5;
2009-12-09;10,6;
2009-12-10;8,8;
2009-12-11;6,3;
2009-12-12;5,8;
2009-12-13;7,7;
2009-12-14;9,3;
2009-12-15;8,6;
2009-12-16;6,2;
2009-12-17;8,4;
2009-12-18;7,1;
2009-12-19;7,2;
2009-12-20;9,7;
2009-12-21;5,9;
2009-12-22;4,5;
2009-12-23;9,2;
2009-12-24;5,6;
2009-12-25;8,6;
2009-12-26;5,5;
2009-12-27;2,2;
2009-12-28;7,5;
2009-12-29;10;
2009-12-30;9,5;
2009-12-31;9,9;
2010-01-01;6,8;
2010-01-02;4,5;
2010-01-03;5,3;
2010-01-04;7,6;
2010-01-05;9,2;
2010-01-06;6;
2010-01-07;9,3;
2010-01-08;6;
2010-01-09;2,6;
2010-01-10;,2;
2010-01-11;4,7;
2010-01-12;7;
2010-01-13;8,9;
2010-01-14;10,3;
2010-01-15;7,5;
2010-01-16;9,2;
2010-01-17;0;
2010-01-18;6,4;
2010-01-19;6,5;
2010-01-20;,3;
2010-01-21;9,9;
2010-01-22;9,3;
2010-01-23;2;
2010-01-24;6,6;
2010-01-25;9,6;
2010-01-26;9,8;
2010-01-27;8,8;
2010-01-28;9,3;
2010-01-29;9,4;
2010-01-30;7,3;
2010-01-31;6,5;
2010-02-01;6;
2010-02-02;6,9;
2010-02-03;9,5;
2010-02-04;7,8;
2010-02-05;9,2;
2010-02-06;7,6;
2010-02-07;8,3;
2010-02-08;6,4;
2010-02-09;5,9;
2010-02-10;1,7;
2010-02-11;9,2;
2010-02-12;7,3;
2010-02-13;6;
2010-02-14;8;
2010-02-15;7,9;
2010-02-16;6,4;
2010-02-17;1;
2010-02-18;1,4;
2010-02-19;9,4;
2010-02-20;9,7;
2010-02-21;7,2;
2010-02-22;,7;
2010-02-23;9,4;
2010-02-24;9,7;
2010-02-25;6,1;
2010-02-26;7,7;
2010-02-27;10;
2010-02-28;9,5;
2010-03-01;9,8;
2010-03-02;10,3;
2010-03-03;9,3;
2010-03-04;9;
2010-03-05;9,8;
2010-03-06;10;
2010-03-07;9,5;
2010-03-08;10,2;
2010-03-09;9,8;
2010-03-10;9,5;
2010-03-11;9,7;
2010-03-12;9,9;
2010-03-13;10;
2010-03-14;10,3;
2010-03-15;7,9;
2010-03-16;9,6;
2010-03-17;4,2;
2010-03-18;9,5;
2010-03-19;5,8;
2010-03-20;5,5;
2010-03-21;2,1;
2010-03-22;5,6;
2010-03-23;6,4;
2010-03-24;8,5;
2010-03-25;5,5;
2010-03-26;4,9;
2010-03-27;4,9;
2010-03-28;4,8;
2010-03-29;7,2;
2010-03-30;8,8;
2010-03-31;10,2;
2010-04-01;7,7;
2010-04-02;8,5;
2010-04-03;9,5;
2010-04-04;9,1;
2010-04-05;8,1;
2010-04-06;4,5;
2010-04-07;7,4;
2010-04-08;6;
2010-04-09;0;
2010-04-10;,5;
2010-04-11;7,3;
2010-04-12;9,6;
2010-04-13;9,9;
2010-04-14;8;
2010-04-15;7,8;
2010-04-16;10,5;
2010-04-17;,8;
2010-04-18;0;
2010-04-19;9,4;
2010-04-20;6,8;
2010-04-21;2,1;
2010-04-22;7,4;
2010-04-23;9,8;
2010-04-24;9,7;
2010-04-25;9;
2010-04-26;8,2;
2010-04-27;9,4;
2010-04-28;9,2;
2010-04-29;10,4;
2010-04-30;8,6;
2010-05-01;10,2;
2010-05-02;9,4;
2010-05-03;4,4;
2010-05-04;7,8;
2010-05-05;3,9;
2010-05-06;9,4;
2010-05-07;9,4;
2010-05-08;4,2;
2010-05-09;8,8;
2010-05-10;9,7;
2010-05-11;8,9;
2010-05-12;6,7;
2010-05-13;7,6;
2010-05-14;6,5;
2010-05-15;9,1;
2010-05-16;8,4;
2010-05-17;7,8;
2010-05-18;9;
2010-05-19;9,7;
2010-05-20;8,4;
2010-05-21;9,1;
2010-05-22;9;
2010-05-23;9;
2010-05-24;8;
2010-05-25;,2;
2010-05-26;8,5;
2010-05-27;8,5;
2010-05-28;9,6;
2010-05-29;9;
2010-05-30;9,1;
2010-05-31;0;
2010-06-01;8,1;
2010-06-02;9,3;
2010-06-03;8,8;
2010-06-04;2;
2010-06-05;6,5;
2010-06-06;9,2;
2010-06-07;8,4;
2010-06-08;8,9;
2010-06-09;9,1;
2010-06-10;8,5;
2010-06-11;7,6;
2010-06-12;9,2;
2010-06-13;0;
2010-06-14;0;
2010-06-15;4;
2010-06-16;0;
2010-06-17;0;
2010-06-18;3;
2010-06-19;8,1;
2010-06-20;7,6;
2010-06-21;8,6;
2010-06-22;8,4;
2010-06-23;7;
2010-06-24;9,2;
2010-06-25;8,8;
2010-06-26;8;
2010-06-27;8,7;
2010-06-28;3,7;
2010-06-29;4,8;
2010-06-30;4;
2010-07-01;,3;
2010-07-02;1,6;
2010-07-03;6,8;
2010-07-04;9,3;
2010-07-05;9;
2010-07-06;8,4;
2010-07-07;1,7;
2010-07-08;3,1;
2010-07-09;0;
2010-07-10;7,6;
2010-07-11;8,1;
2010-07-12;6,4;
2010-07-13;7,5;
2010-07-14;9;
2010-07-15;5,3;
2010-07-16;,1;
2010-07-17;2,7;
2010-07-18;9,1;
2010-07-19;8,2;
2010-07-20;8,8;
2010-07-21;8,6;
2010-07-22;,1;
2010-07-23;7,2;
2010-07-24;2,1;
2010-07-25;1,3;
2010-07-26;,1;
2010-07-27;6;
2010-07-28;9,3;
2010-07-29;7;
2010-07-30;9,4;
2010-07-31;,2;
2010-08-01;5,9;
2010-08-02;3,4;
2010-08-03;3,9;
2010-08-04;7,4;
2010-08-05;4,2;
2010-08-06;1,6;
2010-08-07;3,5;
2010-08-08;10,1;
2010-08-09;1,7;
2010-08-10;8,7;
2010-08-11;3,1;
2010-08-12;1,2;
