Data Medicao,RADIACAO GLOBAL MÁXIMA(Kj/m²)
2008-12-22,3617.02
2008-12-23,2848.728
2008-12-24,3472.412
2008-12-25,3584.939
2008-12-26,3705.267
2008-12-27,3158.057
2008-12-28,3097.88
2008-12-29,2676.038
2008-12-30,2612.623
2008-12-31,3321.638
2009-01-01,3295.92
2009-01-02,3597.876
2009-01-03,3673.154
2009-01-04,3652.934
2009-01-05,3604.756
2009-01-06,3453.709
2009-01-07,3810.251
2009-01-08,3234.818
2009-01-09,2644.715
2009-01-10,3721.199
2009-01-11,3415.978
2009-01-12,3770.459
2009-01-13,3529.132
2009-01-14,3023.752
2009-01-15,3468.248
2009-01-16,1936.1
2009-01-17,3114.453
2009-01-18,3697.6
2009-01-19,3404.038
2009-01-20,2659.399
2009-01-21,2857.683
2009-01-22,3707.004
2009-01-23,3467.555
2009-01-24,3688.48
2009-01-25,3591.061
2009-01-26,3663.555
2009-01-27,3166.937
2009-01-28,3675.485
2009-01-29,3258.274
2009-01-30,2095.655
2009-01-31,3636.01
2009-02-01,2825.144
2009-02-02,3171.115
2009-02-03,1362.828
2009-02-04,2942.827
2009-02-05,1824.132
2009-02-06,3873.659
2009-02-07,3416.219
2009-02-08,3226.321
2009-02-09,3387.475
2009-02-10,3106.218
2009-02-11,2981.182
2009-02-12,2771.633
2009-02-13,3656.961
2009-02-14,2938.405
2009-02-15,3388.016
2009-02-16,3011.005
2009-02-17,2996.304
2009-02-18,3321.558
2009-02-19,3784.103
2009-02-20,1355.359
2009-02-21,3747.916
2009-02-22,2274.781
2009-02-23,1583.387
2009-02-24,3411.121
2009-02-25,2970.572
2009-02-26,3720.144
2009-02-27,3900.766
2009-02-28,1821.509
2009-03-01,1263.883
2009-03-02,3230.751
2009-03-03,3049.039
2009-03-04,3513.676
2009-03-05,3319.521
2009-03-06,3291.463
2009-03-07,3568.521
2009-03-08,2944.51
2009-03-09,3566.008
2009-03-10,3840.492
2009-03-11,3292.579
2009-03-12,3672.089
2009-03-13,3761.818
2009-03-14,3740.964
2009-03-15,3717.014
2009-03-16,3527.754
2009-03-17,3928.525
2009-03-18,3844.766
2009-03-19,3821.344
2009-03-20,3314.744
2009-03-21,3303.61
2009-03-22,3527.261
2009-03-23,3561.372
2009-03-24,3769.215
2009-03-25,3221.482
2009-03-26,3316.66
2009-03-27,3806.17
2009-03-28,3619.154
2009-03-29,3928.828
2009-03-30,3356.724
2009-03-31,3499.516
2009-04-01,3725.849
2009-04-02,3627.906
2009-04-03,3733.925
2009-04-04,3597.452
2009-04-05,3675.264
